Part ID,Part #,Description
DB-RC4STC,002-5572,4 Channel Remote Control for ST-SX4 - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RCS4,001-5592,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R - Black
DB-RCS4C,002-5592,Remote Channel Selector - 4 Channels - controls RU-ASX4D/R - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RCX1,001-9310,Room Control for RCX-5C Room Combiner - Decora® Black
DB-RCX10R,001-9325,Rotary Level Control - Rotary Encoder - Decora® Black  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
DB-RCX10RC,002-9325,Rotary Level Control - Rotary Encoder - Decora® Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)  Note: This product is active but Not Recommended for New Designs (NRND); available while supplies last.
DB-RCX1C,002-9310,Room Control for RCX-5C Room Combiner - Decora® Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RCX2,001-9318,Room Control for RCX-5C Room Combiner - Decora® Black
DB-RCX2C,002-9318,Room Control for RCX-5C Room Combiner - Decora® Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC10,001-5608,Remote Level Control - Rotary Optical Encoder - Black
DB-RLC10C,002-5608,Remote Level Control - Rotary Optical Encoder - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC10K,001-5442,Remote Level Controller - 0 to 10 k Ohm - Black
DB-RLC10KC,002-5442,Remote Level Controller - 0 to 10 k Ohm - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC10KM,001-5443,Remote Level Control with Muting - Black
DB-RLC10KMC,002-5443,Remote Level Control with Muting - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC10M,001-5613,Remote Level Control with Muting - Rotary Optical Encoder - Black
DB-RLC10MC,002-5613,Remote Level Control with Muting - Rotary Optical Encoder - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC2,001-5587,Remote Level Controller - Ramp - Black
DB-RLC2C,002-5587,Remote Level Controller - Ramp - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RLC3,001-5562,Remote Level Controller - Preset Levels - Black
DB-RLC3C,002-5562,Remote Level Controller - Preset Levels - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RN02,001-7696,Wall-Mounted Mic/Line Dante Interface 0 x 2 - Black
DB-RN02C,002-7696,Wall-Mounted Mic/Line Dante Interface 0 x 2 - Black (Custom Labeled) (See Part # ZCST-LBL for setup charge)
DB-RN12,001-7706,Wall-Mounted Bi-Directional Mic/Line Dante Interface 1 x 2 - Black
